TR:HepG2:CellLine,TR:igf1,TR:il1a,TR:tgfa,TR:tnfa,TR:ikki,TR:mek12i,TR:pi3ki,TR:p38i,DA:akt,DA:erk12,DA:ikb,DA:jnk12,DA:p38,DA:hsp27,DA:mek12,DV:akt,DV:erk12,DV:ikb,DV:jnk12,DV:p38,DV:hsp27,DV:mek12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,30,30,30,30,30,30,30,1,0,1,0,0,0,0
1,0,1,0,0,0,0,0,0,30,30,30,30,30,30,30,0,0,1,1,1,1,1
1,1,0,0,0,0,0,0,0,30,30,30,30,30,30,30,1,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,30,30,30,30,30,30,30,1,1,0,0,1,0,1
1,0,0,0,0,0,1,0,0,30,30,30,30,30,30,30,0,0,0,0,0,0,NaN
1,0,0,0,1,0,1,0,0,30,30,30,30,30,30,30,0,0,1,0,0,0,NaN
1,0,1,0,0,0,1,0,0,30,30,30,30,30,30,30,0,0,1,1,1,1,NaN
1,1,0,0,0,0,1,0,0,30,30,30,30,30,30,30,1,0,0,0,0,0,NaN
1,0,0,1,0,0,1,0,0,30,30,30,30,30,30,30,1,0,0,0,0,0,NaN
1,0,0,0,0,0,0,0,1,30,30,30,30,30,30,30,0,0,0,0,NaN,0,0
1,0,0,0,1,0,0,0,1,30,30,30,30,30,30,30,0,0,1,0,NaN,0,0
1,0,1,0,0,0,0,0,1,30,30,30,30,30,30,30,0,0,1,1,NaN,0,1
1,1,0,0,0,0,0,0,1,30,30,30,30,30,30,30,1,0,0,0,NaN,0,0
1,0,0,1,0,0,0,0,1,30,30,30,30,30,30,30,1,1,0,0,NaN,0,1
1,0,0,0,0,0,0,1,0,30,30,30,30,30,30,30,0,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0,30,30,30,30,30,30,30,1,0,1,0,0,0,0
1,0,1,0,0,0,0,1,0,30,30,30,30,30,30,30,1,0,1,1,1,1,1
1,1,0,0,0,0,0,1,0,30,30,30,30,30,30,30,1,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,30,30,30,30,30,30,30,1,1,0,0,0,0,1
1,0,0,0,0,1,0,0,0,30,30,30,30,30,30,30,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0,30,30,30,30,30,30,30,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,30,30,30,30,30,30,30,0,0,0,1,1,1,1
1,1,0,0,0,1,0,0,0,30,30,30,30,30,30,30,1,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,30,30,30,30,30,30,30,1,1,0,0,0,0,1
